gene,con_d1_n1,con_d1_n2,con_d1_n3,con_d1_n4,con_d5_n1,con_d5_n2,con_d5_n3,con_d5_n4,upw_d1_n1,upw_d1_n2,upw_d1_n3,upw_d1_n4,upw_d5_n1,upw_d5_n2,upw_d5_n3,upw_d5_n4
NFIL3,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
HSPBB,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
CAN2,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
SOCS3,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
IKBA,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
HSP13,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
CAH1,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
WIPF1,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
RDH12,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
GLT11,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
KAT6B,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
COAA1,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
SELB,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
GLO2,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
CH60,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
TGM5,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
TRI16,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
ION3,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
ESRP2,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
APOEB,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
SLIK6,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
IL1B,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
KCRU,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
PFKAM,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
WNK4,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
DIAP3,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
KIF2C,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
CKP2L,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
PDK3,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
PRDX1,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
RA51B,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
TRI25,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
NOXO1,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
HSP30,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
BNIPL,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
SOCS2,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
NDUS2,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
G6PI,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
KCC2B,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
UR2R,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
IQGA1,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
PTNA,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
FXP1B,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
CO1A1,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
GLYR1,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
GPDA,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
6PGD,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
PDK2,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
K1C13,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
GA45G,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
NHRF1,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
SL9A2,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
MYH10,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
S4A4,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
KCRB,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
DHSO,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
PKHG4,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
MLRS,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
IKZF1,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
APC,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
PRDX4,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
TOPRS,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
TRY1,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
KLH38,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
FADS6,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
MYH1,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
AT1B2,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
LTBP1,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
DUS1,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
PFKAP,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
S6A13,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
SMG7,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
DCMC,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
DLLA,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
F264,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
PRDX3,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
TOP3B,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
MYSS,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
PKP3,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
HSP70,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
CP1A1,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
TPM4,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
TGM1,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
HSF4,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
CATA,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
ZB16A,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
NIM1,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
URH2,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
SIX3,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
CDK1,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
SODC,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
LONP2,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
MLH1,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
FOS,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
FOSB,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
LOXE3,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
COX1,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
TNNT3,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
KPYM,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
HSPB7,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
CATH,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
APOA1,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
ULK1,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
PRSS8,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
HMMR,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
CDKN3,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
TRXR3,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
MSRA,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
MSH2,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
UCP2,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
NR1D2,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
LIPS,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
COBA1,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
TFR1,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
F261,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
HSP74,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
CAH6,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
YTHD3,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
ATM,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
WDR33,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
H2AX,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
ATF1,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
SSDH,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
IDHC,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
ENOB,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
MUC18,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
PERM,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
G3P2,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
XIRP1,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
SOCS1,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
MYH9,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
HXK4,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
KCC2A,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
UPP1,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
RPGF1,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
PARI,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
ESM1,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
CAH4,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
PROD,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
GSTO1,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
GABT,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
TNNT2,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
NLRC3,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
IGFN1,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
P5CS,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
XIRP2,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
PAI1,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
I17RD,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
S26A3,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
APOD,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
SIPA1,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
PSB6,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
KI20A,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
CY24B,0,0,0,0,0,0,0,0,20,21,30,27,5,4,5,6
PDK1,100,98,79,124,78,90,68,90,2,3,4,2,3,4,2,1
FKBP5,50,45,56,53,57,54,51,55,100,98,90,101,50,45,53,52
MSH6,2,4,3,2,6,4,2,0,6,5,7,6,4,5,7,6
